ID,int_rate
1,12.9142
2,14.7369
3,8.9155
4,15.7976
5,16.1962
6,7.5066
7,12.051
8,8.7633
9,14.222
10,19.4792
11,6.0
12,15.3966
13,13.5031
14,16.5665
15,14.7905
16,10.0919
17,14.1359
18,14.5168
19,10.2884
20,15.0358
21,9.825
22,16.7027
23,9.9111
24,13.2168
25,12.6407
26,7.1083
27,18.232
28,18.6986
29,14.8439
30,18.0873
31,9.2222
32,7.4377
33,12.3551
34,17.3245
35,12.2692
36,14.1859
37,13.2286
38,7.8681
39,9.8199
40,13.5036
41,11.4186
42,17.2611
43,9.2127
44,15.3945
45,14.9161
46,15.0492
47,21.6843
48,17.5488
49,6.7585
50,8.6593
51,11.0747
52,20.8661
53,8.928
54,9.3534
55,10.3621
56,13.9348
57,7.4712
58,13.3436
59,12.5534
60,11.933
61,17.3227
62,11.3442
63,19.7454
64,13.0607
65,15.2107
66,10.5724
67,7.8509
68,6.3791
69,8.1436
70,15.74
71,12.4965
72,13.3651
73,10.1848
74,11.3034
75,13.2422
76,16.1269
77,13.52
78,9.1543
79,9.6732
80,7.0339
81,11.7257
82,9.9118
83,13.8433
84,7.7382
85,16.153
86,9.5427
87,7.3952
88,7.2873
89,6.0
90,12.726
91,7.558
92,11.4625
93,10.034
94,8.4781
95,12.947
96,11.1926
97,7.6716
98,13.8338
99,8.5779
100,8.4937
101,13.965
102,10.5385
103,8.9412
104,6.653
105,8.6671
106,18.9773
107,12.8061
108,18.4398
109,7.9881
110,6.6587
111,12.1146
112,13.0275
113,15.7307
114,10.1032
115,13.0629
116,10.1986
117,14.4147
118,6.8693
119,9.1159
120,14.0235
121,13.4823
122,13.154
123,6.1767
124,11.6524
125,16.1956
126,6.5441
127,6.4888
128,14.6647
129,9.6223
130,8.1979
131,8.3224
132,14.3541
133,8.4652
134,13.0612
135,7.999
136,15.9096
137,7.893
138,16.7914
139,8.9183
140,12.3624
141,19.1358
142,12.5681
143,9.3161
144,18.8322
145,11.4573
146,17.5259
147,12.5787
148,8.6077
149,12.5822
150,7.7353
151,11.9886
152,8.178
153,9.1011
154,7.5683
155,6.1076
156,16.1112
157,8.0237
158,6.4352
159,9.5999
160,10.3115
161,8.1821
162,10.5496
163,17.8981
164,14.6278
165,7.095
166,10.7667
167,6.7974
168,11.5673
169,14.8939
170,8.1276
171,15.9286
172,6.3387
173,9.7393
174,9.92
175,17.8583
176,16.8153
177,6.3502
178,7.9375
179,8.1491
180,10.4514
181,16.5931
182,11.5013
183,13.7879
184,9.4235
185,8.5163
186,15.7712
187,12.8007
188,15.339
189,8.1599
190,12.63
191,9.597
192,9.9012
193,9.9941
194,7.2352
195,7.9515
196,12.2814
197,11.0736
198,14.2357
199,10.8745
200,10.9764
201,15.6315
202,15.0541
203,10.9313
204,12.883
205,9.1643
206,8.318
207,10.6834
208,17.8245
209,9.5467
210,13.5924
211,14.2745
212,6.6321
213,10.671
214,10.6301
215,9.5471
216,8.2029
217,7.1418
218,8.0829
219,11.2747
220,10.0151
221,14.1059
222,15.71
223,7.2169
224,9.7188
225,18.968
226,9.9489
227,18.1233
228,12.215
229,18.07
230,10.9679
231,8.2574
232,12.0629
233,7.044
234,12.9429
235,8.8402
236,17.8155
237,10.2132
238,12.5123
239,11.4263
240,6.4368
241,8.9572
242,12.9981
243,7.7368
244,21.8593
245,19.7005
246,17.7939
247,13.5712
248,16.9985
249,11.8536
250,13.5338
251,9.6127
252,8.7804
253,9.8056
254,11.399
255,14.8856
256,8.7391
257,14.3284
258,15.6924
259,7.5918
260,14.0907
261,15.8223
262,9.6676
263,9.11
264,10.7082
265,8.3447
266,15.3236
267,10.8871
268,15.6984
269,11.7597
270,11.0907
271,6.0
272,6.5409
273,14.3179
274,11.4649
275,15.3017
276,11.2298
277,11.189
278,11.8054
279,7.4286
280,15.4815
281,14.1169
282,10.0959
283,8.668
284,8.3966
285,8.0481
286,8.0224
287,11.6872
288,13.3136
289,10.9208
290,6.6805
291,8.0757
292,6.5833
293,9.0198
294,6.8777
295,14.9614
296,7.546
297,14.0119
298,7.7003
299,14.4131
300,9.3641
301,12.2475
302,8.1361
303,7.1326
304,14.0532
305,11.1957
306,10.3949
307,7.0169
308,7.195
309,10.391
310,9.4821
311,13.7658
312,6.743
313,15.1443
314,11.1137
315,9.4966
316,8.7759
317,11.7594
318,10.167
319,8.8631
320,14.2807
321,15.5983
322,14.9819
323,13.0781
324,16.3711
325,9.9714
326,13.0645
327,9.8056
328,7.8222
329,10.2645
330,9.6853
331,13.9619
332,12.2691
333,13.0861
334,8.8589
335,12.3905
336,8.5047
337,13.6699
338,14.3607
339,6.7352
340,6.3395
341,15.6833
342,9.0252
343,6.729
344,8.6184
345,14.258
346,9.2872
347,11.7779
348,9.6549
349,11.3629
350,11.0701
351,6.7566
352,17.9059
353,11.9772
354,16.5709
355,12.3905
356,12.172
357,13.1718
358,11.6276
359,17.9136
360,15.903
361,7.493
362,12.2317
363,15.3138
